filename,class
000.mp4,0
000_003.mp4,1
001.mp4,0
001_870.mp4,1
002.mp4,0
002_006.mp4,1
003.mp4,0
003_000.mp4,1
004.mp4,0
004_982.mp4,1
005.mp4,0
005_010.mp4,1
006.mp4,0
006_002.mp4,1
007.mp4,0
007_132.mp4,1
008.mp4,0
008_990.mp4,1
009.mp4,0
009_027.mp4,1
01__exit_phone_room.mp4,0
01__hugging_happy.mp4,0
01__kitchen_pan.mp4,0
01__kitchen_still.mp4,0
01__meeting_serious.mp4,0
01__outside_talking_pan_laughing.mp4,0
01__outside_talking_still_laughing.mp4,0
01__podium_speech_happy.mp4,0
01__secret_conversation.mp4,0
01__talking_against_wall.mp4,0
01__talking_angry_couch.mp4,0
01__walk_down_hall_angry.mp4,0
01__walking_and_outside_surprised.mp4,0
01__walking_down_indoor_hall_disgust.mp4,0
01__walking_down_street_outside_angry.mp4,0
01__walking_outside_cafe_disgusted.mp4,0
01_02__exit_phone_room__YVGY8LOK.mp4,1
01_02__hugging_happy__YVGY8LOK.mp4,1
01_02__meeting_serious__YVGY8LOK.mp4,1
01_02__outside_talking_still_laughing__YVGY8LOK.mp4,1
01_02__secret_conversation__YVGY8LOK.mp4,1
01_02__talking_against_wall__YVGY8LOK.mp4,1
01_02__talking_angry_couch__YVGY8LOK.mp4,1
01_02__walk_down_hall_angry__YVGY8LOK.mp4,1
01_02__walking_and_outside_surprised__YVGY8LOK.mp4,1
01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1
01_02__walking_outside_cafe_disgusted__YVGY8LOK.mp4,1
01_03__exit_phone_room__480LQD1C.mp4,1
01_03__hugging_happy__ISF9SP4G.mp4,1
01_03__kitchen_pan__JZUXXFRB.mp4,1
01_03__kitchen_still__JZUXXFRB.mp4,1
01_03__meeting_serious__JZUXXFRB.mp4,1
01_03__outside_talking_pan_laughing__ISF9SP4G.mp4,1
01_03__outside_talking_still_laughing__JZUXXFRB.mp4,1
01_03__podium_speech_happy__480LQD1C.mp4,1
01_03__podium_speech_happy__JZUXXFRB.mp4,1
01_03__secret_conversation__480LQD1C.mp4,1
01_03__talking_against_wall__JZUXXFRB.mp4,1
01_03__talking_angry_couch__ISF9SP4G.mp4,1
01_03__talking_angry_couch__JZUXXFRB.mp4,1
01_03__walking_and_outside_surprised__JZUXXFRB.mp4,1
01_04__exit_phone_room__0XUW13RW.mp4,1
01_04__hugging_happy__GBC7ZGDP.mp4,1
01_04__kitchen_pan__GBC7ZGDP.mp4,1
01_04__kitchen_still__GBC7ZGDP.mp4,1
01_04__meeting_serious__0XUW13RW.mp4,1
01_04__outside_talking_still_laughing__0XUW13RW.mp4,1
01_04__podium_speech_happy__0XUW13RW.mp4,1
01_04__podium_speech_happy__6I623VU9.mp4,1
01_04__podium_speech_happy__GBC7ZGDP.mp4,1
01_04__talking_angry_couch__0XUW13RW.mp4,1
01_04__walk_down_hall_angry__0XUW13RW.mp4,1
01_04__walk_down_hall_angry__GBC7ZGDP.mp4,1
01_04__walking_and_outside_surprised__GBC7ZGDP.mp4,1
01_04__walking_down_street_outside_angry__0XUW13RW.mp4,1
01_04__walking_down_street_outside_angry__GBC7ZGDP.mp4,1
01_04__walking_outside_cafe_disgusted__0XUW13RW.mp4,1
01_09__exit_phone_room__6TSGVLHA.mp4,1
01_09__hugging_happy__SJZRV69J.mp4,1
01_09__kitchen_pan__6TSGVLHA.mp4,1
01_09__secret_conversation__SJZRV69J.mp4,1
01_09__talking_angry_couch__O8HNNX43.mp4,1
01_09__talking_angry_couch__P70H1JB0.mp4,1
01_09__walk_down_hall_angry__P70H1JB0.mp4,1
01_11__exit_phone_room__4OJNJLOO.mp4,1
01_11__exit_phone_room__9229VVZ3.mp4,1
01_11__hugging_happy__4OJNJLOO.mp4,1
01_11__hugging_happy__5OVT6C66.mp4,1
01_11__hugging_happy__EKE2KNRE.mp4,1
01_11__hugging_happy__P06JKA75.mp4,1
01_11__kitchen_pan__WIZ7GKOD.mp4,1
01_11__kitchen_still__5OVT6C66.mp4,1
01_11__meeting_serious__18HYCC8C.mp4,1
01_11__meeting_serious__9OM3VE0Y.mp4,1
01_11__meeting_serious__FAFWDR4W.mp4,1
01_11__meeting_serious__FCNL2OVP.mp4,1
01_11__meeting_serious__WIZ7GKOD.mp4,1
01_11__outside_talking_pan_laughing__9OM3VE0Y.mp4,1
01_11__outside_talking_pan_laughing__LL4RUKZA.mp4,1
01_11__outside_talking_pan_laughing__UQ0BOBNO.mp4,1
01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,1
01_11__outside_talking_still_laughing__4OJNJLOO.mp4,1
01_11__outside_talking_still_laughing__9229VVZ3.mp4,1
01_11__podium_speech_happy__WIZ7GKOD.mp4,1
01_11__secret_conversation__4OJNJLOO.mp4,1
01_11__secret_conversation__WIZ7GKOD.mp4,1
01_11__talking_against_wall__4OJNJLOO.mp4,1
01_11__talking_against_wall__9229VVZ3.mp4,1
01_11__talking_against_wall__P06JKA75.mp4,1
01_11__talking_against_wall__UQ0BOBNO.mp4,1
01_11__talking_against_wall__WIZ7GKOD.mp4,1
01_11__talking_angry_couch__FAFWDR4W.mp4,1
01_11__walking_and_outside_surprised__18HYCC8C.mp4,1
01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,1
